seed,support_correct_at_4,ranking_failure_certified,saved_q4,conditional_true_lower_bound,true_support_refit_objective,original_plateau,original_window,true4_only_plateau,true4_only_window,true_nested_plateau,true_nested_window
3,False,True,0.00029302241897363653,0.0008282246925724864,0.0008622074664147812,4,4,2,5,2,
4,False,True,0.000221948372495459,0.0005000686790913502,0.0006355364089323506,4,2,6,,4,
6,False,True,3.325768477935249e-05,0.0002941819468232781,0.0002990735041746695,6,2,6,2,6,2
8,True,False,0.00028252307905590957,0.00025977943999435293,0.00028252307905590876,6,,6,,6,
12,False,True,0.00014094185331801489,0.0002629201459056999,0.00030583393011226497,4,,4,,4,
13,True,False,0.0005309079407255087,0.0004942207759001656,0.000530907940725509,4,4,4,4,4,4
18,True,False,0.00024989316171016615,0.00023654118939388864,0.00024989316171016615,6,,6,,6,4
21,False,True,0.00018346129225417805,0.0009664354332726311,0.0014813819643056964,4,2,5,3,5,3
22,True,False,0.00020555597970579035,0.0001974537145952217,0.0002055559797057903,4,,4,,4,
27,True,False,0.0007177308156219939,0.0006390507862413724,0.0007177308156219933,5,,5,,5,
