seed,passes_true_support,D4_edges,D4_objective,original_passes_true_support,first_contains_true_dimension,edge_addition_order
3,True,"[[1, 4], [2, 4], [3, 4]]",0.0008622074664147812,False,4,"[[3, 4], [2, 4], [1, 4], [1, 2], [2, 3], [1, 3]]"
4,True,"[[1, 4], [2, 4], [3, 4]]",0.0006355364089323506,False,4,"[[3, 4], [2, 4], [1, 4], [1, 2], [2, 3], [1, 3]]"
6,False,"[[1, 2], [1, 4], [3, 4]]",3.32576847793522e-05,False,6,"[[3, 4], [1, 4], [1, 2], [1, 3], [2, 4], [2, 3]]"
8,True,"[[1, 4], [2, 4], [3, 4]]",0.00028252307905590876,True,4,"[[3, 4], [1, 4], [2, 4], [1, 3], [2, 3], [1, 2]]"
12,False,"[[1, 2], [1, 4], [3, 4]]",0.00014094185331801212,False,6,"[[3, 4], [1, 4], [1, 2], [1, 3], [2, 4], [2, 3]]"
13,True,"[[1, 4], [2, 4], [3, 4]]",0.000530907940725509,True,4,"[[3, 4], [2, 4], [1, 4], [2, 3], [1, 3], [1, 2]]"
18,True,"[[1, 4], [2, 4], [3, 4]]",0.00024989316171016615,True,4,"[[3, 4], [1, 4], [2, 4], [2, 3], [1, 3], [1, 2]]"
21,True,"[[1, 4], [2, 4], [3, 4]]",0.0014813819643056964,False,4,"[[3, 4], [1, 4], [2, 4], [1, 3], [2, 3], [1, 2]]"
22,True,"[[1, 4], [2, 4], [3, 4]]",0.0002055559797057903,True,4,"[[3, 4], [1, 4], [2, 4], [2, 3], [1, 3], [1, 2]]"
27,True,"[[1, 4], [2, 4], [3, 4]]",0.0007177308156219933,True,4,"[[3, 4], [1, 4], [2, 4], [1, 3], [2, 3], [1, 2]]"
