seed,mode,method,true_dimension,status,selected_dimension,minimal_scale,recommended_scale,error
2,constant,plateau,4,ok,4,1.0129495876476319e-09,2.0258991752952637e-09,
2,constant,window,4,failed,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
2,dimension,plateau,4,ok,4,6.144271172070886e-10,1.2288542344141771e-09,
2,dimension,window,4,ok,2,2.562942992263191e-08,5.125885984526382e-08,
3,constant,plateau,4,ok,4,1.865143560499138e-09,3.730287120998276e-09,
3,constant,window,4,ok,2,3.9970966467911486e-08,7.994193293582297e-08,
3,dimension,plateau,4,ok,4,1.1249297569880726e-09,2.249859513976145e-09,
3,dimension,window,4,ok,2,7.629326857333066e-08,1.5258653714666132e-07,
124,constant,plateau,4,ok,4,1.1025535432016385e-09,2.205107086403277e-09,
124,constant,window,4,ok,2,1.1540754231438289e-07,2.3081508462876577e-07,
124,dimension,plateau,4,ok,4,6.792341890053551e-10,1.3584683780107102e-09,
124,dimension,window,4,ok,2,2.7056645166657843e-08,5.4113290333315686e-08,
139,constant,plateau,4,ok,4,4.5090934233968957e-10,9.018186846793791e-10,
139,constant,window,4,failed,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
139,dimension,plateau,4,ok,4,2.7008312154125927e-10,5.401662430825185e-10,
139,dimension,window,4,ok,4,2.9229078883646587e-12,5.8458157767293174e-12,
147,constant,plateau,4,ok,4,1.6871878002443324e-10,3.374375600488665e-10,
147,constant,window,4,failed,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
147,dimension,plateau,4,ok,4,1.039903976404869e-10,2.079807952809738e-10,
147,dimension,window,4,ok,2,2.53431945757457e-08,5.06863891514914e-08,
153,constant,plateau,4,ok,4,9.769873521498912e-10,1.9539747042997823e-09,
153,constant,window,4,ok,2,1.1631779431005762e-07,2.3263558862011524e-07,
153,dimension,plateau,4,ok,4,5.989284918225347e-10,1.1978569836450694e-09,
153,dimension,window,4,ok,2,2.6447731997007218e-08,5.2895463994014436e-08,
156,constant,plateau,4,ok,4,6.10668537630559e-10,1.221337075261118e-09,
156,constant,window,4,ok,2,4.262613183040286e-08,8.525226366080572e-08,
156,dimension,plateau,4,ok,4,3.6826293416411406e-10,7.365258683282281e-10,
156,dimension,window,4,ok,2,2.772528935055349e-08,5.545057870110698e-08,
173,constant,plateau,4,ok,4,1.4431816721318018e-09,2.8863633442636036e-09,
173,constant,window,4,failed,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
173,dimension,plateau,4,ok,4,8.703174882540004e-10,1.7406349765080009e-09,
173,dimension,window,4,failed,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
192,constant,plateau,4,ok,4,1.1082050905012538e-09,2.2164101810025075e-09,
192,constant,window,4,ok,4,2.9136539977111675e-11,5.827307995422335e-11,
192,dimension,plateau,4,ok,4,6.714931941417558e-10,1.3429863882835117e-09,
192,dimension,window,4,ok,4,1.6114237232684006e-11,3.222847446536801e-11,
237,constant,plateau,4,ok,4,1.6693111046335161e-09,3.3386222092670323e-09,
237,constant,window,4,ok,2,4.0730764970969663e-08,8.146152994193933e-08,
237,dimension,plateau,4,ok,4,1.0066400937766506e-09,2.013280187553301e-09,
237,dimension,window,4,ok,2,2.6491653836104484e-08,5.298330767220897e-08,
