form,seed,method,dimension,precision,recall,tp,edges,recommended_scale,error
D^7,3,plateau,2.0,1.0,0.3333333333333333,1,1,1.4414578864395208e-09,
D^7,3,window,5.0,0.75,1.0,3,4,4.2656619709846745e-13,
D^7,4,plateau,4.0,0.6666666666666666,0.6666666666666666,2,3,9.491273371296871e-12,
D^7,4,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^7,6,plateau,6.0,0.6,1.0,3,5,1.1266813859643536e-15,
D^7,6,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^7,8,plateau,6.0,0.6,1.0,3,5,1.3675894640595445e-14,
D^7,8,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^7,12,plateau,4.0,0.6666666666666666,0.6666666666666666,2,3,1.083453378014242e-11,
D^7,12,window,5.0,0.5,0.6666666666666666,2,4,4.652404709816498e-14,
D^7,13,plateau,4.0,1.0,1.0,3,3,1.1750254649136758e-11,
D^7,13,window,5.0,0.75,1.0,3,4,6.892602084625725e-13,
D^7,18,plateau,6.0,0.6,1.0,3,5,4.7703390814992664e-14,
D^7,18,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^7,21,plateau,2.0,1.0,0.3333333333333333,1,1,1.5737931914483884e-09,
D^7,21,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^7,22,plateau,4.0,1.0,1.0,3,3,7.582102278541075e-12,
D^7,22,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^7,27,plateau,5.0,0.75,1.0,3,4,4.616023157832057e-13,
D^7,27,window,5.0,0.75,1.0,3,4,3.5190680355791424e-14,
D^8,3,plateau,2.0,1.0,0.3333333333333333,1,1,9.141830820754996e-10,
D^8,3,window,5.0,0.75,1.0,3,4,1.6256811347392965e-13,
D^8,4,plateau,4.0,0.6666666666666666,0.6666666666666666,2,3,4.0810684833400784e-12,
D^8,4,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^8,6,plateau,6.0,0.6,1.0,3,5,4.08573993974473e-16,
D^8,6,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^8,8,plateau,6.0,0.6,1.0,3,5,4.959348540616996e-15,
D^8,8,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^8,12,plateau,4.0,0.6666666666666666,0.6666666666666666,2,3,4.8130310568228175e-12,
D^8,12,window,5.0,0.5,0.6666666666666666,2,4,1.6871214478669347e-14,
D^8,13,plateau,4.0,1.0,1.0,3,3,5.219801587920893e-12,
D^8,13,window,5.0,0.75,1.0,3,4,2.6268267892216975e-13,
D^8,18,plateau,2.0,1.0,0.3333333333333333,1,1,7.874010864507976e-10,
D^8,18,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^8,21,plateau,2.0,1.0,0.3333333333333333,1,1,9.981335848587975e-10,
D^8,21,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^8,22,plateau,4.0,1.0,1.0,3,3,3.368186442455876e-12,
D^8,22,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^8,27,plateau,5.0,0.75,1.0,3,4,1.8336426712312966e-13,
D^8,27,window,5.0,0.75,1.0,3,4,1.276136475246554e-14,
D^9,3,plateau,2.0,1.0,0.3333333333333333,1,1,5.796212504009963e-10,
D^9,3,window,5.0,0.75,1.0,3,4,6.263840995777298e-14,
D^9,4,plateau,4.0,0.6666666666666666,0.6666666666666666,2,3,1.7701034142537877e-12,
D^9,4,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^9,6,plateau,6.0,0.6,1.0,3,5,1.498538809503493e-16,
D^9,6,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^9,8,plateau,6.0,0.6,1.0,3,5,1.8189537034790046e-15,
D^9,8,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^9,12,plateau,4.0,0.6666666666666666,0.6666666666666666,2,3,2.1585391372558667e-12,
D^9,12,window,5.0,0.5,0.6666666666666666,2,4,6.1879009222203595e-15,
D^9,13,plateau,4.0,1.0,1.0,3,3,2.3409626350822307e-12,
D^9,13,window,5.0,0.75,1.0,3,4,1.0121305116429507e-13,
D^9,18,plateau,2.0,1.0,0.3333333333333333,1,1,4.992255152173707e-10,
D^9,18,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^9,21,plateau,2.0,1.0,0.3333333333333333,1,1,6.328583668179396e-10,
D^9,21,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^9,22,plateau,2.0,1.0,0.3333333333333333,1,1,7.509259478029568e-10,
D^9,22,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^9,27,plateau,5.0,0.75,1.0,3,4,7.362491557669674e-14,
D^9,27,window,5.0,0.75,1.0,3,4,4.680522585563538e-15,
D^28,3,plateau,2.0,1.0,0.3333333333333333,1,1,1.1108234732388462e-13,
D^28,3,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^28,4,plateau,4.0,0.6666666666666666,0.6666666666666666,2,3,5.787871388166471e-19,
D^28,4,window,4.0,0.6666666666666666,0.6666666666666666,2,3,4.069943979756637e-21,
D^28,6,plateau,4.0,0.6666666666666666,0.6666666666666666,2,3,4.1009887163473465e-19,
D^28,6,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^28,8,plateau,6.0,0.6,1.0,3,5,2.2057788880875457e-23,
D^28,8,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^28,12,plateau,2.0,1.0,0.3333333333333333,1,1,1.5480072859615673e-13,
D^28,12,window,6.0,0.6,1.0,3,5,7.503841916637949e-23,
D^28,13,plateau,2.0,1.0,0.3333333333333333,1,1,1.3603414531865748e-13,
D^28,13,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^28,18,plateau,2.0,1.0,0.3333333333333333,1,1,9.566957512601518e-14,
D^28,18,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^28,21,plateau,2.0,1.0,0.3333333333333333,1,1,1.2128935390429048e-13,
D^28,21,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^28,22,plateau,2.0,1.0,0.3333333333333333,1,1,1.4390470718884347e-13,
D^28,22,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^28,27,plateau,2.0,1.0,0.3333333333333333,1,1,1.7915265551669506e-13,
D^28,27,window,6.0,0.6,1.0,3,5,5.675900837048241e-23,
D^30,3,plateau,2.0,1.0,0.3333333333333333,1,1,4.5328521469465074e-14,
D^30,3,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^30,4,plateau,4.0,0.6666666666666666,0.6666666666666666,2,3,1.2864224432922674e-19,
D^30,4,window,4.0,0.6666666666666666,0.6666666666666666,2,3,7.353668443121737e-22,
D^30,6,plateau,4.0,0.6666666666666666,0.6666666666666666,2,3,9.114929428455134e-20,
D^30,6,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^30,8,plateau,6.0,0.6,1.0,3,5,3.353514802181015e-24,
D^30,8,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^30,12,plateau,2.0,1.0,0.3333333333333333,1,1,6.316834603543146e-14,
D^30,12,window,6.0,0.6,1.0,3,5,1.1408326136664454e-23,
D^30,13,plateau,2.0,1.0,0.3333333333333333,1,1,5.551040865245867e-14,
D^30,13,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^30,18,plateau,2.0,1.0,0.3333333333333333,1,1,3.9039148372379763e-14,
D^30,18,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^30,21,plateau,2.0,1.0,0.3333333333333333,1,1,4.949361748094374e-14,
D^30,21,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^30,22,plateau,2.0,1.0,0.3333333333333333,1,1,5.872208813300728e-14,
D^30,22,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^30,27,plateau,2.0,1.0,0.3333333333333333,1,1,7.310545296587232e-14,
D^30,27,window,6.0,0.6,1.0,3,5,8.629250001234771e-24,
D^32,3,plateau,2.0,1.0,0.3333333333333333,1,1,1.849963986931577e-14,
D^32,3,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^32,4,plateau,4.0,0.6666666666666666,0.6666666666666666,2,3,2.8630396011562723e-20,
D^32,4,window,4.0,0.6666666666666666,0.6666666666666666,2,3,1.3312797962959925e-22,
D^32,6,plateau,4.0,0.6666666666666666,0.6666666666666666,2,3,2.0286029718699078e-20,
D^32,6,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^32,8,plateau,2.0,1.0,0.3333333333333333,1,1,2.3026903674959535e-14,
D^32,8,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^32,12,plateau,2.0,1.0,0.3333333333333333,1,1,2.578049350141112e-14,
D^32,12,window,6.0,0.6,1.0,3,5,1.738684048921706e-24,
D^32,13,plateau,2.0,1.0,0.3333333333333333,1,1,2.2655108099365493e-14,
D^32,13,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^32,18,plateau,2.0,1.0,0.3333333333333333,1,1,1.5932797931418546e-14,
