form,seed,method,dimension,precision,recall,tp,edges,recommended_scale,error
D^1,2,plateau,4.0,1.0,1.0,3,3,1.2288542344141771e-09,
D^1,2,window,2.0,1.0,0.3333333333333333,1,1,5.125885984526382e-08,
D^1,3,plateau,4.0,1.0,1.0,3,3,2.249859513976145e-09,
D^1,3,window,2.0,1.0,0.3333333333333333,1,1,1.5258653714666132e-07,
D^1,124,plateau,4.0,1.0,1.0,3,3,1.3584683780107102e-09,
D^1,124,window,2.0,1.0,0.3333333333333333,1,1,5.4113290333315686e-08,
D^1,139,plateau,4.0,1.0,1.0,3,3,5.401662430825185e-10,
D^1,139,window,4.0,1.0,1.0,3,3,5.8458157767293174e-12,
D^1,147,plateau,4.0,1.0,1.0,3,3,2.079807952809738e-10,
D^1,147,window,2.0,1.0,0.3333333333333333,1,1,5.06863891514914e-08,
D^1,153,plateau,4.0,1.0,1.0,3,3,1.1978569836450694e-09,
D^1,153,window,2.0,1.0,0.3333333333333333,1,1,5.2895463994014436e-08,
D^1,156,plateau,4.0,1.0,1.0,3,3,7.365258683282281e-10,
D^1,156,window,2.0,1.0,0.3333333333333333,1,1,5.545057870110698e-08,
D^1,173,plateau,4.0,1.0,1.0,3,3,1.7406349765080009e-09,
D^1,173,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^1,192,plateau,4.0,1.0,1.0,3,3,1.3429863882835117e-09,
D^1,192,window,4.0,1.0,1.0,3,3,3.222847446536801e-11,
D^1,237,plateau,4.0,1.0,1.0,3,3,2.013280187553301e-09,
D^1,237,window,2.0,1.0,0.3333333333333333,1,1,5.298330767220897e-08,
D^8,2,plateau,4.0,1.0,1.0,3,3,4.0378701784524796e-12,
D^8,2,window,5.0,0.75,1.0,3,4,1.1453776975313036e-14,
D^8,3,plateau,4.0,1.0,1.0,3,3,7.392441486807722e-12,
D^8,3,window,5.0,0.75,1.0,3,4,1.1358115097215504e-15,
D^8,124,plateau,4.0,1.0,1.0,3,3,4.462786925958962e-12,
D^8,124,window,2.0,1.0,0.3333333333333333,1,1,5.224169096127084e-10,
D^8,139,plateau,4.0,1.0,1.0,3,3,1.77452031851024e-12,
D^8,139,window,4.0,1.0,1.0,3,3,8.346515174976792e-15,
D^8,147,plateau,4.0,1.0,1.0,3,3,6.83326811864648e-13,
D^8,147,window,5.0,0.75,1.0,3,4,3.3716464351728637e-16,
D^8,153,plateau,4.0,1.0,1.0,3,3,3.935189784872167e-12,
D^8,153,window,2.0,1.0,0.3333333333333333,1,1,5.106650039842704e-10,
D^8,156,plateau,4.0,1.0,1.0,3,3,2.41951609202744e-12,
D^8,156,window,2.0,1.0,0.3333333333333333,1,1,5.353060215089932e-10,
D^8,173,plateau,4.0,1.0,1.0,3,3,5.718138172644156e-12,
D^8,173,window,5.0,0.75,1.0,3,4,8.445727480976407e-15,
D^8,192,plateau,4.0,1.0,1.0,3,3,4.4121785551795286e-12,
D^8,192,window,5.0,0.75,1.0,3,4,3.381516735512346e-14,
D^8,237,plateau,4.0,1.0,1.0,3,3,6.613345365611306e-12,
D^8,237,window,5.0,0.75,1.0,3,4,4.6763446260259916e-14,
D^32,2,plateau,4.0,1.0,1.0,3,3,4.360576477648684e-20,
D^32,2,window,5.0,0.75,1.0,3,4,3.7036098625110615e-24,
D^32,3,plateau,4.0,1.0,1.0,3,3,7.983243558521252e-20,
D^32,3,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^32,124,plateau,4.0,1.0,1.0,3,3,4.819448614730753e-20,
D^32,124,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^32,139,plateau,4.0,1.0,1.0,3,3,1.9163382450352266e-20,
D^32,139,window,5.0,0.75,1.0,3,4,8.555879525174558e-25,
D^32,147,plateau,4.0,1.0,1.0,3,3,7.379379475550739e-21,
D^32,147,window,5.0,0.75,1.0,3,4,1.090230878091707e-25,
D^32,153,plateau,4.0,1.0,1.0,3,3,4.249686560315557e-20,
D^32,153,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^32,156,plateau,4.0,1.0,1.0,3,3,2.612881158525333e-20,
D^32,156,window,5.0,0.75,1.0,3,4,5.612185287712952e-25,
D^32,173,plateau,4.0,1.0,1.0,3,3,6.175125829083297e-20,
D^32,173,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^32,192,plateau,4.0,1.0,1.0,3,3,4.764796682647998e-20,
D^32,192,window,5.0,0.75,1.0,3,4,1.0934223921643943e-23,
D^32,237,plateau,4.0,1.0,1.0,3,3,7.141875222353878e-20,
D^32,237,window,5.0,0.75,1.0,3,4,1.512108142484178e-23,
D^64,2,plateau,2.0,1.0,0.3333333333333333,1,1,8.424737011491234e-20,
D^64,2,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^64,3,plateau,2.0,1.0,0.3333333333333333,1,1,8.992064799281225e-20,
D^64,3,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^64,124,plateau,2.0,1.0,0.3333333333333333,1,1,8.428154275515171e-20,
D^64,124,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^64,139,plateau,4.0,1.0,1.0,3,3,7.361649414413523e-31,
D^64,139,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^64,147,plateau,4.0,1.0,1.0,3,3,2.834802506064134e-31,
D^64,147,window,5.0,0.75,1.0,3,4,4.60543614316759e-38,
D^64,153,plateau,2.0,1.0,0.3333333333333333,1,1,8.532657334819534e-20,
D^64,153,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^64,156,plateau,4.0,1.0,1.0,3,3,1.0037432118480988e-30,
D^64,156,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^64,173,plateau,2.0,1.0,0.3333333333333333,1,1,8.629811339227624e-20,
D^64,173,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^64,192,plateau,2.0,1.0,0.3333333333333333,1,1,8.446912385626492e-20,
D^64,192,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^64,237,plateau,2.0,1.0,0.3333333333333333,1,1,8.75859095621038e-20,
D^64,237,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
