num_samples,seed,candidates_descending,first_p,second_p,selected_dimension,true_positive_edges,selected_edge_count,precision,exact_support_recovery,path_passes_true_support,status
1000000,2,"[6, 4, 2]",0.26,0.005,4,3,3,1.0,True,True,ok
1000000,3,"[5, 4, 2]",0.03,,5,3,4,0.75,False,True,ok
1000000,124,"[5, 4, 2]",0.23,0.005,4,3,3,1.0,True,True,ok
1000000,139,"[6, 4, 2]",0.63,0.005,4,3,3,1.0,True,True,ok
1000000,147,"[6, 4, 2]",0.975,0.005,4,3,3,1.0,True,True,ok
1000000,153,"[6, 4, 2]",0.445,0.005,4,3,3,1.0,True,True,ok
1000000,156,"[6, 4, 2]",0.555,0.005,4,3,3,1.0,True,True,ok
1000000,173,"[5, 4, 2]",0.105,0.005,4,3,3,1.0,True,True,ok
1000000,192,"[6, 4, 2]",0.18,0.005,4,3,3,1.0,True,True,ok
1000000,237,"[5, 4, 2]",0.1,0.005,4,3,3,1.0,True,True,ok
100,124,"[6, 5, 2]",0.83,0.71,2,1,1,1.0,False,False,ok
100,139,"[4, 3, 2]",0.61,0.25,2,1,1,1.0,False,True,ok
100,141,"[6, 5, 4]",0.845,0.755,4,2,3,0.6666666666666666,False,False,ok
100,147,"[6, 5, 4]",0.855,0.685,4,2,3,0.6666666666666666,False,False,ok
100,153,"[6, 5, 3]",0.88,0.95,3,0,2,0.0,False,False,ok
100,156,"[6, 5, 4]",0.785,0.67,4,2,3,0.6666666666666666,False,False,ok
100,173,"[6, 4, 2]",0.89,0.605,2,1,1,1.0,False,True,ok
100,192,"[6, 4, 3]",0.925,0.83,3,1,2,0.5,False,False,ok
100,237,"[5, 3, 2]",0.43,0.285,2,1,1,1.0,False,False,ok
100,243,"[6, 5, 4]",0.57,0.705,4,1,3,0.3333333333333333,False,False,ok
1000,6,"[6, 5, 3]",0.665,0.15,3,2,2,1.0,False,False,ok
1000,15,"[6, 4, 2]",0.755,0.4,2,1,1,1.0,False,False,ok
1000,23,"[6, 5, 4]",0.35,0.05,4,3,3,1.0,True,True,ok
1000,46,"[5, 4, 2]",0.535,0.05,2,1,1,1.0,False,True,ok
1000,51,"[5, 3, 2]",0.61,0.065,2,1,1,1.0,False,False,ok
1000,53,"[6, 4, 2]",0.52,0.09,2,1,1,1.0,False,False,ok
1000,59,"[6, 5, 4]",0.895,0.625,4,3,3,1.0,True,True,ok
1000,61,"[6, 5, 2]",0.845,0.985,2,1,1,1.0,False,False,ok
1000,74,"[6, 3, 2]",0.57,0.16,2,1,1,1.0,False,True,ok
1000,85,"[6, 4, 3]",0.615,0.095,3,2,2,1.0,False,False,ok
