seed,small_dimension,large_dimension,observed_gain,bootstrap_exceedances,bootstrap_replicates,p_value,alpha,selected_dimension,true_positive_edges,selected_edges,precision,exact_support_recovery,mc_interval_lower,mc_interval_upper,bootstrap_gain_q95,negative_bootstrap_gains,draws_below_original_omega_cap
3,2,5,0.006775284449471961,0,199,0.005,0.05,5,3,4,0.75,False,0.0,0.018366327694415267,0.0022805862220959885,0,15
4,2,4,0.023217514148266026,0,199,0.005,0.05,4,3,3,1.0,True,0.0,0.018366327694415267,0.0024934660248056924,0,43
6,4,6,3.323737311393586e-05,176,199,0.885,0.05,4,2,3,0.6666666666666666,False,0.8316366569439464,0.9253057252147976,0.0019362810513551024,11,94
8,4,6,0.0002823209834268131,120,199,0.605,0.05,4,3,3,1.0,True,0.5314035548618248,0.6715092395816504,0.0012798790335235885,1,41
12,4,5,0.00011104051280378538,94,199,0.475,0.05,4,2,3,0.6666666666666666,False,0.40135998627226227,0.5441992549269474,0.001026344381140436,34,79
13,2,4,0.014696330249400267,0,199,0.005,0.05,4,3,3,1.0,True,0.0,0.018366327694415267,0.0030768985851274927,0,17
18,4,6,0.0002468855790650965,108,199,0.545,0.05,4,3,3,1.0,True,0.47079405298066135,0.6133415450905649,0.0011584532438983382,0,58
21,5,6,4.428591588383404e-05,136,199,0.685,0.05,5,3,4,0.75,False,0.6138922186311799,0.7473787871566694,0.0008598706666229832,0,58
22,4,5,0.0001831054711343984,76,199,0.385,0.05,4,3,3,1.0,True,0.3141129520549138,0.45328081315297925,0.0007391509975040896,3,22
27,4,5,0.0006956757151237974,19,199,0.1,0.05,4,3,3,1.0,True,0.05846702402586655,0.14508194882057968,0.0010836161576471114,17,25
