seed,candidates_descending,first_p_value,second_p_value,selected_dimension,true_positive_edges,selected_edge_count,precision,exact_support_recovery,prior_top2_dimension,prior_top2_precision
3,"[5, 4, 2]",0.075,0.005,4,3,3,1.0,True,5,0.75
4,"[5, 4, 2]",0.075,0.005,4,3,3,1.0,True,4,1.0
6,"[6, 4, 2]",0.885,0.005,4,2,3,0.6666666666666666,False,4,0.6666666666666666
8,"[6, 4, 2]",0.605,0.005,4,3,3,1.0,True,4,1.0
12,"[5, 4, 2]",0.475,0.005,4,2,3,0.6666666666666666,False,4,0.6666666666666666
13,"[4, 3, 2]",0.01,,4,3,3,1.0,True,4,1.0
18,"[6, 4, 2]",0.545,0.005,4,3,3,1.0,True,4,1.0
21,"[6, 5, 2]",0.685,0.005,5,3,4,0.75,False,5,0.75
22,"[6, 5, 4]",0.785,0.385,4,3,3,1.0,True,4,1.0
27,"[5, 4, 2]",0.1,0.005,4,3,3,1.0,True,4,1.0
